SMA_200,VWAP,Fib_50,Bullish_Engulfing,Daily_Pivots,MACD,Vol_SMA,Stoch_Buy,Stoch_Sell,Total_Return_%,Trades
False,False,False,True,False,False,True,30,70,27.78317791506297,6.5
False,False,False,True,False,False,True,40,60,27.32268781293088,6.5
True,False,False,False,False,False,True,30,70,24.03379560957404,2.5
True,False,False,False,False,False,True,40,60,21.30133915633383,3.5
False,False,False,False,True,False,True,30,70,21.270814426439365,2.0
False,False,False,True,True,False,False,20,80,18.987628967093826,1.0
False,True,False,True,False,False,False,40,60,18.502775792908444,4.5
False,True,False,False,True,False,False,20,80,16.68073200596931,1.0
False,False,False,True,False,True,False,30,70,15.675309230411072,2.0
True,True,False,False,False,True,False,40,60,15.049463784460926,1.5
True,False,False,False,False,True,False,40,60,15.049463784460926,1.5
False,False,False,False,True,True,False,40,60,14.508713102983783,2.0
False,True,False,False,True,True,False,40,60,14.508713102983783,2.0
False,False,False,True,False,False,False,40,60,13.692361671710573,13.5
False,False,False,True,True,False,True,30,70,13.4964946610175,1.0
False,False,False,True,True,False,True,40,60,13.4964946610175,1.0
False,True,False,True,False,False,True,30,70,11.986896022908544,2.5
True,True,True,False,False,False,False,20,80,11.767434209608641,1.5
False,True,False,True,False,False,True,40,60,11.583330717768536,2.5
False,True,False,True,False,True,False,30,70,11.092957305514739,1.0
False,False,False,True,False,True,True,40,60,11.092957305514739,1.0
False,True,False,True,False,True,True,30,70,11.092957305514739,0.5
False,True,False,True,False,True,False,40,60,11.092957305514739,1.0
False,False,False,True,False,True,True,30,70,11.092957305514739,0.5
False,True,False,True,False,True,True,40,60,11.092957305514739,1.0
False,False,False,False,True,False,False,20,80,10.262253162097391,2.0
False,False,False,True,False,False,True,20,80,9.63976093170249,3.5
False,True,False,False,True,False,True,30,70,9.458427956467364,2.0
False,False,False,True,False,True,False,40,60,7.942620464826589,2.0
False,False,False,True,False,False,False,20,80,7.626089365857047,5.5
False,True,True,False,False,False,False,30,70,7.394547936374396,2.5
False,True,False,True,False,False,False,30,70,7.341789094929108,3.5
False,False,False,True,False,False,False,30,70,5.8651767696382695,11.5
False,False,False,True,True,False,False,40,60,5.843530656252738,2.0
True,True,True,False,False,False,False,30,70,5.357779879705604,2.5
True,True,True,False,True,False,False,30,70,5.26390520082014,1.0
True,False,True,False,False,False,False,20,80,5.25241891813073,2.5
False,False,True,False,False,False,False,20,80,5.25241891813073,2.5
True,True,False,False,False,False,True,30,70,5.164228674218352,1.5
True,True,False,False,False,False,True,40,60,4.910828294399594,1.5
False,True,False,False,True,True,True,40,60,4.819930598744859,1.0
True,False,False,False,False,True,True,40,60,4.819930598744859,0.5
True,False,False,False,True,True,True,40,60,4.819930598744859,0.5
True,False,False,False,True,True,False,40,60,4.819930598744859,0.5
True,True,False,False,True,True,True,40,60,4.819930598744859,0.5
True,True,False,False,False,True,True,40,60,4.819930598744859,0.5
True,True,False,False,True,True,False,40,60,4.819930598744859,0.5
False,False,False,False,True,True,True,40,60,4.819930598744859,1.0
True,True,False,False,False,False,False,30,70,4.642725290707683,4.5
True,True,False,False,True,False,True,40,60,4.234738916937575,1.0
True,True,True,True,True,False,False,40,60,3.8350811239161064,1.0
False,True,True,True,True,False,False,40,60,3.8350811239161064,1.0
True,True,True,True,False,False,False,40,60,3.666426032462655,1.5
