SMA_200,VWAP,Fib_50,Bullish_Engulfing,Daily_Pivots,MACD,Vol_SMA,Stoch_Buy,Stoch_Sell,Avg_Return_%,Avg_Trades,SOXL_Ret,TQQQ_Ret,SPXL_Ret
False,True,False,False,True,True,False,40,60,494.0734869104352,7.666666666666667,1325.0326390052346,54.388421538134565,102.79940018793643
False,True,False,False,True,True,True,40,60,367.8897722159727,5.666666666666667,915.6629907597098,63.73809332239726,124.2682325658111
False,True,True,False,False,False,False,40,60,346.68598411393907,3.3333333333333335,901.082645391011,43.98619355588163,94.98911339492433
False,False,False,False,True,True,True,40,60,338.3892943622644,7.0,907.8361603310789,64.74398302870648,42.587739727007886
True,True,True,False,False,False,False,40,60,332.4990711458159,3.0,830.2812259341545,72.2268741083688,94.98911339492433
False,True,True,False,False,True,False,40,60,327.83430593493557,1.1666666666666667,797.0586380890827,107.26540544318435,79.17887427253956
False,False,False,False,True,True,False,40,60,310.4157489196672,9.0,849.7694555201258,14.831002437119256,66.64678880175651
False,True,True,False,False,False,False,30,70,302.59717832336406,3.0,789.9373501415984,23.31280077007516,94.5413840584187
False,False,True,False,False,True,False,40,60,302.04113253743105,1.6666666666666667,797.0586380890827,29.005447379116035,80.05931214409443
False,True,True,False,True,False,False,40,60,297.15990130844216,2.3333333333333335,752.5831333110306,41.89060517217263,97.00596544212314
False,True,True,False,True,False,True,40,60,294.70386309359856,2.3333333333333335,752.5831333110306,46.25945451945124,85.26900145031387
False,False,True,False,True,False,True,40,60,293.31152690139686,2.3333333333333335,752.5831333110306,41.172082787791275,86.17936460536879
True,False,True,False,True,False,True,40,60,292.4627989455789,2.3333333333333335,752.5831333110306,38.6258989203375,86.17936460536879
False,True,False,False,False,True,True,40,60,290.3080186440635,6.0,742.0906023413396,32.58450024130835,96.24895334954256
True,True,True,False,True,False,False,40,60,287.9212372671129,2.3333333333333335,752.5831333110306,14.174613048185037,97.00596544212314
True,True,True,False,True,False,True,40,60,285.18073813734367,2.3333333333333335,752.5831333110306,17.690079650686606,85.26900145031387
False,False,True,False,False,False,False,40,60,283.70161274813273,3.6666666666666665,714.3104545024582,41.805270347015735,94.98911339492433
False,True,False,False,False,True,True,20,80,281.6503288450613,0.5,812.6801812284144,32.27080530676949,0.0
False,True,False,False,True,True,True,20,80,281.6503288450613,0.5,812.6801812284144,32.27080530676949,0.0
False,True,False,False,True,True,False,20,80,281.6503288450613,0.5,812.6801812284144,32.27080530676949,0.0
False,False,True,False,True,False,True,30,70,280.3817936826444,2.3333333333333335,752.5831333110306,18.26870337637012,70.29354436053248
False,True,True,False,True,False,False,30,70,280.0200900938294,2.0,752.5831333110306,25.059857633566974,62.41727933689074
False,True,True,False,True,False,True,30,70,279.7437905682267,1.8333333333333333,752.5831333110306,41.90602953142233,44.74220886222726
False,True,True,False,False,False,False,20,80,275.9833083695756,2.6666666666666665,722.9709984890377,21.007058388819132,83.97186823086997
True,False,True,False,False,False,False,40,60,275.1490910167774,3.3333333333333335,656.7184701415546,73.7396895138533,94.98911339492433
True,False,True,False,True,False,True,30,70,275.0716549206778,2.3333333333333335,752.5831333110306,2.338287090470481,70.29354436053248
True,True,True,False,False,False,False,30,70,274.4991545532026,3.0,726.9966649666164,1.9594146345724095,94.5413840584187
False,False,False,False,False,True,True,40,60,271.4376384031917,7.666666666666667,735.6013431972826,37.14946727489554,41.562104737397185
False,True,True,False,True,True,False,40,60,271.3524229507819,1.0,627.6129891366219,107.26540544318435,79.17887427253956
True,True,True,False,True,False,False,30,70,266.74262838778475,2.0,752.5831333110306,-14.772527484567066,62.41727933689074
True,True,True,False,True,False,True,30,70,265.9821821727367,1.8333333333333333,752.5831333110306,0.6212043449523197,44.74220886222726
False,False,True,False,True,False,False,40,60,259.8093100944241,2.6666666666666665,644.4987333340312,36.955195997342,97.97400095189914
False,False,True,False,False,False,False,30,70,246.62931858837544,3.3333333333333335,623.9015593857059,21.445012321001755,94.5413840584187
False,False,True,False,True,False,False,30,70,246.41342125598018,2.6666666666666665,644.4987333340312,4.228602939526982,90.51292749438234
False,False,True,False,True,True,False,40,60,237.1648513759693,1.3333333333333333,627.6129891366219,3.8222528471915984,80.05931214409443
True,False,True,False,False,False,False,30,70,229.5633756356777,3.3333333333333335,572.7037305276126,21.445012321001755,94.5413840584187
False,False,True,False,False,False,False,20,80,226.16646460293356,3.0,569.4291334560065,25.057005311130844,84.0132550416633
True,False,True,False,True,False,False,40,60,221.03019406423527,2.6666666666666665,530.631513215839,34.48506802496767,97.97400095189914
False,True,True,False,False,False,True,40,60,219.60905690010665,2.6666666666666665,535.5067270729363,38.05144217706984,85.26900145031387
True,True,False,False,False,False,False,40,60,217.407759165977,10.333333333333334,472.0753700246264,52.55991818028944,127.58798929301518
False,False,True,False,False,False,True,40,60,215.1070275876887,3.0,535.5067270729363,41.03421728406078,68.78013840606894
True,False,True,False,False,False,True,40,60,213.99181211755055,3.0,535.5067270729363,37.688570873646434,68.78013840606894
False,False,False,False,True,True,True,20,80,211.07991021896538,0.6666666666666666,571.2251822830067,32.27080530676949,29.743743067120043
False,False,False,False,True,True,False,20,80,211.07991021896538,0.6666666666666666,571.2251822830067,32.27080530676949,29.743743067120043
True,False,False,False,False,False,False,40,60,211.0463116496591,10.666666666666666,475.15721963626635,43.93735679201816,114.04435852069268
True,True,True,False,False,False,True,40,60,210.40594672359964,2.6666666666666665,535.5067270729363,10.44211164754869,85.26900145031387
False,False,False,False,False,True,True,20,80,202.9285418406045,0.6666666666666666,571.2251822830067,32.27080530676949,5.289637932037428
True,False,True,False,True,False,False,30,70,202.60876823586003,2.6666666666666665,530.631513215839,-13.31813600264139,90.51292749438234
True,True,False,False,False,False,False,30,70,198.10691293536348,8.166666666666666,512.7989704826655,30.873619246172133,50.64814907725286
False,True,True,False,False,False,True,20,80,183.50467170638663,1.8333333333333333,471.2810643904758,-1.1174423211357198,80.35039304981977
False,False,True,False,False,False,True,20,80,182.1246804191939,2.1666666666666665,471.2810643904758,-1.1174423211357198,76.21041918824167
True,True,True,False,False,False,False,20,80,178.4820891797101,2.6666666666666665,447.37293027549407,4.101469032766336,83.97186823086997
False,False,True,False,False,False,True,30,70,177.69755083438133,3.0,460.56053440068575,18.153204801548984,54.37891330090925
False,True,True,False,False,False,True,30,70,173.65236345891083,2.5,460.56053440068575,15.654347113819455,44.74220886222726
True,False,True,False,False,False,True,30,70,172.19525593227073,3.0,460.56053440068575,1.6463200952172352,54.37891330090925
False,False,True,False,False,True,False,30,70,168.94268657149507,1.3333333333333333,468.70477182461644,-8.156733925815162,46.28002181568398
False,False,False,False,True,False,False,20,80,167.740177181225,11.833333333333334,236.29461968304048,118.35268790905312,148.57322395158144
True,True,True,False,False,False,True,30,70,162.27827116958204,2.5,460.56053440068575,-18.467929754166878,44.74220886222726
False,False,True,False,False,True,False,20,80,160.12347750505623,0.16666666666666666,361.2819735452751,104.60341834371248,14.4850406261811
True,False,True,False,False,True,False,40,60,154.4903330611475,1.0,381.7243264105267,9.62583803634014,72.12083473657567
True,False,True,False,False,False,False,20,80,151.43990424010647,3.0,345.24945236752524,25.057005311130844,84.0132550416633
False,False,True,False,True,False,True,20,80,148.12267093177584,1.5,361.2819735452751,2.7356462002326554,80.35039304981977
True,False,True,False,False,True,False,30,70,142.66811607540356,0.8333333333333334,381.7243264105267,0.0,46.28002181568398
False,False,True,False,True,False,False,20,80,141.99928617839453,1.6666666666666667,342.9118192851312,2.7356462002326554,80.35039304981977
False,True,True,False,False,True,True,40,60,138.63870822983856,0.5,220.8900162243802,107.26540544318435,87.76070302195113
False,True,True,False,True,True,True,40,60,138.63870822983856,0.5,220.8900162243802,107.26540544318435,87.76070302195113
False,False,True,False,False,True,True,40,60,138.31963770850822,1.3333333333333333,361.2819735452751,7.396917764565658,46.28002181568398
False,True,True,True,False,False,False,40,60,137.35457126466392,1.3333333333333333,300.9180101818777,66.25084384637489,44.89485976573915
False,False,True,False,True,True,True,40,60,137.12808273605023,1.1666666666666667,361.2819735452751,3.8222528471915984,46.28002181568398
False,False,True,False,True,True,True,20,80,134.16111881428077,0.0,361.2819735452751,41.20138289756723,0.0
False,False,True,False,False,True,True,20,80,134.16111881428077,0.0,361.2819735452751,41.20138289756723,0.0
False,False,True,False,True,True,False,20,80,134.16111881428077,0.0,361.2819735452751,41.20138289756723,0.0
False,False,False,False,True,False,True,20,80,133.925435101233,10.166666666666666,170.24208414245297,98.01835135787232,133.51586980337373
False,False,True,False,True,True,False,30,70,133.13508714504798,1.1666666666666667,361.2819735452751,-8.156733925815162,46.28002181568398
False,False,True,False,True,True,True,30,70,133.13508714504798,1.1666666666666667,361.2819735452751,-8.156733925815162,46.28002181568398
False,False,True,False,False,True,True,30,70,133.13508714504798,1.1666666666666667,361.2819735452751,-8.156733925815162,46.28002181568398
True,False,True,False,True,False,False,20,80,132.2729172403161,1.1666666666666667,290.7312880081547,25.737070662973814,80.35039304981977
True,False,True,False,True,False,True,20,80,132.2729172403161,1.1666666666666667,290.7312880081547,25.737070662973814,80.35039304981977
False,False,True,True,False,False,False,40,60,132.25493989373945,1.6666666666666667,300.9180101818777,50.951949733601445,44.89485976573915
False,False,False,False,False,False,False,40,60,132.00576608937007,91.16666666666667,283.9982889682141,58.19404715104059,53.824962148855434
True,False,False,False,False,False,False,20,80,131.30322685486192,6.666666666666667,166.5746166236076,66.88966015058311,160.44540379039512
True,False,False,False,False,False,False,30,70,128.8678378324195,9.666666666666666,324.54341112657585,-3.2763122666874978,65.3364146373701
True,True,False,False,False,False,False,20,80,125.5190567576977,5.5,178.04066539269337,76.28671066826367,122.22979421213611
True,False,True,False,True,True,False,40,60,124.15932026035685,0.8333333333333334,290.7312880081547,9.62583803634014,72.12083473657567
False,True,True,True,False,False,False,30,70,122.32983699622264,1.0,300.9180101818777,40.70319236175155,25.368308445038636
False,False,False,False,False,False,False,20,80,118.2670553203968,44.166666666666664,102.63041830393935,167.0291599786733,85.1415876785778
False,False,True,True,False,False,False,30,70,118.01386242937926,1.3333333333333333,300.9180101818777,27.75526866122142,25.368308445038636
True,True,True,False,False,False,True,20,80,116.99125903285157,1.5,252.00974694644444,18.613637102290493,80.35039304981977
False,False,True,True,False,False,False,20,80,116.6082304428052,1.0,300.9180101818777,17.23836834830088,31.668312798237007
False,True,False,False,True,True,True,30,70,116.42912312784699,2.5,307.98637521723305,40.22139376255851,1.0796004037495033
True,False,True,False,False,False,True,20,80,115.61126774565886,1.8333333333333333,252.00974694644444,18.613637102290493,76.21041918824167
True,False,True,False,False,True,True,40,60,115.54571595339296,0.8333333333333334,290.7312880081547,9.62583803634014,46.28002181568398
True,False,True,False,True,True,True,40,60,115.54571595339296,0.8333333333333334,290.7312880081547,9.62583803634014,46.28002181568398
False,True,True,True,False,False,False,20,80,114.80177531563794,1.0,300.9180101818777,11.848616765805108,31.638698999230975
True,False,True,False,True,True,False,30,70,112.3371032746129,0.6666666666666666,290.7312880081547,0.0,46.28002181568398
True,False,True,False,True,True,True,30,70,112.3371032746129,0.6666666666666666,290.7312880081547,0.0,46.28002181568398
True,False,True,False,False,True,True,30,70,112.3371032746129,0.6666666666666666,290.7312880081547,0.0,46.28002181568398
False,False,False,False,False,False,False,30,70,106.85529365651298,66.83333333333333,164.16990037865384,78.79308232081932,77.60289827006577
False,True,False,False,False,False,False,20,80,104.85161484220724,30.666666666666668,125.1172182868713,164.80178828639626,24.6358379533542
True,False,False,False,False,True,False,20,80,96.91042933605158,0.0,290.7312880081547,0.0,0.0
True,False,False,False,True,True,True,20,80,96.91042933605158,0.0,290.7312880081547,0.0,0.0
True,False,True,False,True,True,True,20,80,96.91042933605158,0.0,290.7312880081547,0.0,0.0
True,False,False,False,True,True,False,20,80,96.91042933605158,0.0,290.7312880081547,0.0,0.0
True,False,True,False,False,True,False,20,80,96.91042933605158,0.0,290.7312880081547,0.0,0.0
True,False,True,False,True,True,False,20,80,96.91042933605158,0.0,290.7312880081547,0.0,0.0
True,False,True,False,False,True,True,20,80,96.91042933605158,0.0,290.7312880081547,0.0,0.0
True,False,False,False,False,True,True,20,80,96.91042933605158,0.0,290.7312880081547,0.0,0.0
True,True,True,True,False,False,False,40,60,95.15400775290243,1.0,197.6734517450343,42.893711747933835,44.89485976573915
True,False,False,False,True,False,False,20,80,92.03399706029055,2.5,103.00309523688624,89.0383904323846,84.06050551160078
True,False,False,False,True,False,True,20,80,92.03399706029055,2.5,103.00309523688624,89.0383904323846,84.06050551160078
True,False,True,True,False,False,False,40,60,90.77084049625421,1.3333333333333333,197.6734517450343,29.74420997798921,44.89485976573915
False,False,False,False,True,True,True,30,70,88.90507874768844,4.0,115.98832947748767,41.08281369073794,109.64409307483973
True,True,True,True,False,False,False,30,70,88.64515731266891,0.6666666666666666,197.6734517450343,42.893711747933835,25.368308445038636
True,False,True,True,False,False,False,30,70,84.26199005602072,1.0,197.6734517450343,29.74420997798921,25.368308445038636
False,False,False,False,True,True,False,30,70,83.58266112990081,4.333333333333333,159.12587442823295,10.189501107937327,81.43260785353218
True,False,False,False,True,False,False,30,70,83.20878641614749,6.5,219.01934113560117,-50.196078674666936,80.80309678750828
True,True,False,False,True,False,False,20,80,82.58525785330536,2.0,75.21156383058599,89.0383904323846,83.50581929694549
True,True,False,False,True,False,True,20,80,82.58525785330536,2.0,75.21156383058599,89.0383904323846,83.50581929694549
True,False,True,True,False,False,False,20,80,80.19082645067111,0.6666666666666666,197.6734517450343,11.230714808742048,31.668312798237007
False,False,False,False,False,False,True,20,80,80.05580911663542,23.833333333333332,70.22199614950341,66.07113152966812,103.8742996707347
True,True,True,True,False,False,False,20,80,78.47643379027733,0.6666666666666666,197.6734517450343,6.117150626566681,31.638698999230975
