SMA_200,VWAP,Fib_50,Bullish_Engulfing,Daily_Pivots,MACD,Vol_SMA,Stoch_Buy,Stoch_Sell,Avg_Return_%,Avg_Trades,SOXL_Ret,TQQQ_Ret,SPXL_Ret
False,True,False,False,True,False,True,40,60,44.761797008823564,2.3333333333333335,91.09126530793267,36.03749496261337,7.156630755924631
False,False,False,False,False,False,True,40,60,43.65709403672457,3.8333333333333335,74.4899734293186,36.03749496261337,20.44381371824173
False,True,False,False,True,False,False,40,60,37.76705434456684,3.0,79.34180675114044,35.98757497744538,-2.0282186948853087
False,False,False,False,True,False,True,40,60,36.052261483126344,2.6666666666666665,55.07470619429877,36.03749496261337,17.044583292466875
False,False,False,False,False,False,True,30,70,34.977010272985495,2.5,86.50979333684703,6.021460754730024,12.399776727379441
False,True,False,False,False,False,True,40,60,34.19555010437724,3.0,51.878347373305076,36.03749496261337,14.670807977213274
False,True,False,False,False,False,True,30,70,33.181194901193315,2.0,86.50979333684703,6.021460754730024,7.012330612002904
False,False,False,False,False,False,False,40,60,30.786112932060888,5.5,54.905851660198394,34.82994074202077,2.6225463939635096
False,True,False,False,False,False,False,30,70,28.29005071764883,2.6666666666666665,70.26665857462638,14.023643735649372,0.5798498426707432
False,False,False,False,True,False,False,30,70,27.497148674281206,2.1666666666666665,66.04368805422361,6.021460754730024,10.42629721388999
False,False,False,False,False,False,True,20,80,27.229485858133607,1.8333333333333333,67.79427380502587,6.021460754730024,7.872723014644922
False,False,False,False,True,False,True,30,70,27.0020423155718,1.3333333333333333,65.7570967296117,6.021460754730024,9.227569462373687
False,True,False,False,False,False,True,20,80,26.082911786088854,1.6666666666666667,67.79427380502587,6.021460754730024,4.433000798510656
False,True,False,False,False,False,False,40,60,26.030806441478067,3.6666666666666665,62.254571710999905,15.257997770763554,0.5798498426707432
False,True,False,False,True,False,False,30,70,25.437054849472744,1.6666666666666667,72.31792248857352,6.021460754730024,-2.0282186948853087
False,False,False,False,True,False,False,40,60,24.463420177989022,3.5,40.24054558639924,26.89260345219353,6.25711149537429
False,True,False,False,False,False,False,20,80,24.391549129984817,2.3333333333333335,53.18107332379651,14.023643735649372,5.969930330508566
False,True,False,False,True,False,True,30,70,23.92618582811391,1.0,65.7570967296117,6.021460754730024,0.0
False,False,False,False,False,False,False,30,70,23.305593944743762,3.8333333333333335,41.490043773939014,22.23386237381608,6.192875686476196
False,False,False,False,False,False,False,20,80,20.41105737814979,3.1666666666666665,28.826715199127406,22.23386237381608,10.172594561505877
False,False,False,True,False,False,True,20,80,16.481260892485206,0.6666666666666666,41.5710596628107,0.0,7.872723014644922
False,False,False,True,False,False,True,30,70,16.481260892485206,0.6666666666666666,41.5710596628107,0.0,7.872723014644922
False,False,False,True,False,False,True,40,60,16.481260892485206,0.6666666666666666,41.5710596628107,0.0,7.872723014644922
False,True,False,True,False,False,True,40,60,16.194463424937865,0.6666666666666666,41.5710596628107,0.0,7.012330612002904
False,True,False,True,False,False,True,30,70,16.194463424937865,0.6666666666666666,41.5710596628107,0.0,7.012330612002904
False,True,False,True,False,False,True,20,80,15.33468682044045,0.6666666666666666,41.5710596628107,0.0,4.433000798510656
False,True,False,True,False,False,False,40,60,11.737189596774966,1.0,29.241638459816333,0.0,5.969930330508566
False,True,False,True,False,False,False,30,70,11.737189596774966,1.0,29.241638459816333,0.0,5.969930330508566
False,True,False,True,False,False,False,20,80,11.737189596774966,1.0,29.241638459816333,0.0,5.969930330508566
False,False,False,False,True,False,False,20,80,11.27635358832617,1.5,21.292321853681084,6.021460754730024,6.515278156567406
False,False,False,True,False,False,False,20,80,11.227698978254612,1.3333333333333333,17.217734921805516,10.495431682449752,5.969930330508566
False,False,False,True,False,False,False,30,70,10.331537740296842,1.3333333333333333,17.217734921805516,10.495431682449752,3.281446616635253
False,False,False,True,False,False,False,40,60,10.331537740296842,1.3333333333333333,17.217734921805516,10.495431682449752,3.281446616635253
False,True,False,False,True,False,False,20,80,10.178625948057785,1.3333333333333333,21.292321853681084,6.021460754730024,3.2220952357622457
False,False,False,False,True,False,True,20,80,7.5652345159924765,0.6666666666666666,16.67424279324741,6.021460754730024,0.0
False,True,False,False,True,False,True,20,80,7.5652345159924765,0.6666666666666666,16.67424279324741,6.021460754730024,0.0
False,True,False,False,True,True,False,40,60,5.826867590121373,0.5,0.0,13.784620470558572,3.6959822998055447
False,True,False,False,False,True,False,40,60,5.826867590121373,0.5,0.0,13.784620470558572,3.6959822998055447
False,False,False,False,False,True,False,40,60,5.826867590121373,0.5,0.0,13.784620470558572,3.6959822998055447
False,False,False,False,True,True,False,40,60,5.826867590121373,0.5,0.0,13.784620470558572,3.6959822998055447
False,True,False,False,True,True,True,40,60,1.2319940999351817,0.16666666666666666,0.0,0.0,3.6959822998055447
False,True,False,False,False,True,True,40,60,1.2319940999351817,0.16666666666666666,0.0,0.0,3.6959822998055447
False,False,False,False,False,True,True,40,60,1.2319940999351817,0.16666666666666666,0.0,0.0,3.6959822998055447
