SMA_200,VWAP,Fib_50,Bullish_Engulfing,Daily_Pivots,MACD,Vol_SMA,Stoch_Buy,Stoch_Sell,Avg_Return_%,Avg_Trades,BTC_Ret,ETH_Ret,SOL_Ret
False,False,True,True,True,False,True,30,70,5.2747415429820945,0.16666666666666666,0.0,0.0,15.824224628946283
False,False,True,True,True,False,True,40,60,4.907030521855357,0.3333333333333333,0.0,-1.1031330633802128,15.824224628946283
True,False,False,True,True,False,True,40,60,4.267326162010043,0.6666666666666666,0.0,-1.1031330633802128,13.905111549410343
True,False,False,True,False,True,False,40,60,4.099060626040673,0.6666666666666666,0.0,-2.174185658336125,14.471367536458146
False,True,False,True,False,False,True,20,80,3.7903433074485036,1.1666666666666667,6.512090161551143,0.545704748693665,4.313235012100702
True,True,False,True,False,True,False,40,60,3.3738462640688436,0.6666666666666666,0.0,-4.3498287442516155,14.471367536458146
False,False,False,True,False,False,True,20,80,3.235704008393925,5.166666666666667,5.957436005143313,12.501253830113113,-8.75157781007465
True,False,False,True,True,False,True,30,70,2.7758507294185426,0.3333333333333333,0.0,0.0,8.327552188255627
False,False,False,True,False,True,True,30,70,2.711804756072152,1.6666666666666667,10.99034711372202,11.092957305514739,-13.947890151020303
False,True,False,True,False,False,False,40,60,2.4438165710950073,12.166666666666666,4.174439021066534,21.59984393413228,-18.442833241913792
False,True,True,True,False,False,False,20,80,2.368553793586185,0.8333333333333334,-1.91218182373033,0.545704748693665,8.47213845579522
True,False,False,True,False,False,True,40,60,2.1978662521648444,2.5,8.629791621401983,-10.213304379999865,8.177111515092417
False,False,False,True,False,True,False,30,70,1.6771140663588757,3.3333333333333335,-10.348148558174175,22.642600527426595,-7.263109770175791
False,False,False,True,False,False,False,40,60,1.0942051780550708,31.833333333333332,3.6980287554296165,10.216075717691542,-10.631488938955947
True,False,True,True,True,False,True,30,70,0.7983883127968383,0.16666666666666666,0.0,0.0,2.395164938390515
False,False,False,True,False,False,False,30,70,0.7341812357591866,26.166666666666668,4.2563828361690925,1.4522356121323465,-3.506074741023879
False,False,False,True,False,False,True,30,70,0.6189643539690981,8.333333333333334,-5.469362081696493,31.118196643971395,-23.791941500367606
False,True,False,True,False,True,False,30,70,0.5912310320661973,2.6666666666666665,-8.747444047475561,17.784246913849945,-7.263109770175791
True,False,False,False,True,True,True,40,60,0.5514874880940417,0.5,0.0,4.819930598744859,-3.1654681344627345
True,True,False,False,True,True,True,40,60,0.5514874880940417,0.5,0.0,4.819930598744859,-3.1654681344627345
True,True,False,True,False,False,False,40,60,0.4795551405516611,3.1666666666666665,-0.21047799548171708,4.869401098120263,-3.2202576809835626
True,False,True,True,True,False,True,40,60,0.4306772916701007,0.3333333333333333,0.0,-1.1031330633802128,2.395164938390515
True,False,False,True,False,False,True,30,70,0.344897831065627,2.0,8.765288688180428,-9.211789613575949,1.481194418592402
False,True,True,True,False,False,True,30,70,0.18190158289788833,0.16666666666666666,0.0,0.545704748693665,0.0
True,True,False,True,False,False,True,30,70,0.18190158289788833,0.16666666666666666,0.0,0.545704748693665,0.0
True,True,True,True,False,False,True,30,70,0.18190158289788833,0.16666666666666666,0.0,0.545704748693665,0.0
True,True,False,True,False,False,True,20,80,0.18190158289788833,0.16666666666666666,0.0,0.545704748693665,0.0
True,True,True,True,False,False,True,20,80,0.18190158289788833,0.16666666666666666,0.0,0.545704748693665,0.0
False,True,True,True,False,False,True,20,80,0.18190158289788833,0.16666666666666666,0.0,0.545704748693665,0.0
False,False,True,False,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0
False,False,True,False,True,True,False,20,80,0.0,0.0,0.0,0.0,0.0
False,False,False,True,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0
False,False,True,True,True,True,True,30,70,0.0,0.0,0.0,0.0,0.0
False,False,True,True,True,True,True,40,60,0.0,0.0,0.0,0.0,0.0
False,False,True,True,True,True,False,20,80,0.0,0.0,0.0,0.0,0.0
False,False,True,True,True,True,False,30,70,0.0,0.0,0.0,0.0,0.0
False,False,True,True,True,True,False,40,60,0.0,0.0,0.0,0.0,0.0
False,False,True,True,True,False,True,20,80,0.0,0.0,0.0,0.0,0.0
False,False,True,True,False,True,False,20,80,0.0,0.0,0.0,0.0,0.0
False,False,True,True,False,True,True,20,80,0.0,0.0,0.0,0.0,0.0
False,False,True,False,False,True,True,20,80,0.0,0.0,0.0,0.0,0.0
True,True,False,True,True,True,False,30,70,0.0,0.0,0.0,0.0,0.0
False,False,True,True,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0
True,True,False,True,False,True,False,20,80,0.0,0.0,0.0,0.0,0.0
True,True,False,True,False,True,True,20,80,0.0,0.0,0.0,0.0,0.0
True,True,False,True,True,False,True,30,70,0.0,0.0,0.0,0.0,0.0
True,True,False,True,False,True,True,40,60,0.0,0.0,0.0,0.0,0.0
True,True,False,True,False,True,True,30,70,0.0,0.0,0.0,0.0,0.0
False,True,False,False,True,True,False,20,80,0.0,0.0,0.0,0.0,0.0
False,True,False,False,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0
True,True,False,True,True,True,True,30,70,0.0,0.0,0.0,0.0,0.0
True,True,False,True,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0
True,True,False,True,True,True,True,40,60,0.0,0.0,0.0,0.0,0.0
True,True,False,True,True,True,False,20,80,0.0,0.0,0.0,0.0,0.0
True,True,True,False,False,True,True,20,80,0.0,0.0,0.0,0.0,0.0
True,True,True,False,False,True,False,20,80,0.0,0.0,0.0,0.0,0.0
False,False,False,True,True,True,False,20,80,0.0,0.0,0.0,0.0,0.0
True,True,True,True,False,True,False,30,70,0.0,0.0,0.0,0.0,0.0
True,True,True,False,True,False,True,20,80,0.0,0.0,0.0,0.0,0.0
False,False,False,False,True,True,False,20,80,0.0,0.0,0.0,0.0,0.0
True,True,True,False,True,True,False,20,80,0.0,0.0,0.0,0.0,0.0
True,True,True,True,False,True,False,40,60,0.0,0.0,0.0,0.0,0.0
False,False,False,False,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0
True,True,True,False,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0
False,True,True,False,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0
False,True,True,False,True,True,False,20,80,0.0,0.0,0.0,0.0,0.0
False,True,True,False,False,True,True,20,80,0.0,0.0,0.0,0.0,0.0
False,True,True,False,False,True,False,20,80,0.0,0.0,0.0,0.0,0.0
False,True,False,True,True,True,False,20,80,0.0,0.0,0.0,0.0,0.0
False,True,False,True,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0
False,True,False,True,True,False,True,20,80,0.0,0.0,0.0,0.0,0.0
True,True,False,False,True,True,False,20,80,0.0,0.0,0.0,0.0,0.0
True,True,False,False,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0
True,True,False,True,True,False,True,20,80,0.0,0.0,0.0,0.0,0.0
False,True,True,True,True,False,True,20,80,0.0,0.0,0.0,0.0,0.0
False,True,True,True,True,True,False,40,60,0.0,0.0,0.0,0.0,0.0
False,True,True,True,False,True,False,20,80,0.0,0.0,0.0,0.0,0.0
False,True,True,True,False,True,True,30,70,0.0,0.0,0.0,0.0,0.0
False,True,True,True,False,True,False,30,70,0.0,0.0,0.0,0.0,0.0
