SMA_200,VWAP,Fib_50,Bullish_Engulfing,Daily_Pivots,MACD,Vol_SMA,Stoch_Buy,Stoch_Sell,Avg_Return_%,Avg_Trades,SPY_Ret,VOO_Ret
False,False,True,False,True,False,False,40,60,53.23469406028284,2.0,56.792035347055744,49.67735277350993
True,False,True,False,True,False,False,40,60,53.23469406028284,2.0,56.792035347055744,49.67735277350993
False,True,True,False,True,False,False,40,60,52.96831158076435,2.0,56.51578412618863,49.420839035340066
True,True,True,False,True,False,False,40,60,52.96831158076435,2.0,56.51578412618863,49.420839035340066
False,False,True,False,True,False,True,40,60,49.48098786937932,2.0,49.284622965248715,49.67735277350993
True,False,True,False,True,False,True,40,60,49.48098786937932,2.0,49.284622965248715,49.67735277350993
True,False,True,False,False,False,True,40,60,49.48098786937932,2.0,49.284622965248715,49.67735277350993
False,False,True,False,False,False,True,40,60,49.48098786937932,2.0,49.284622965248715,49.67735277350993
False,True,True,False,False,False,True,40,60,49.35273100029439,2.0,49.284622965248715,49.420839035340066
True,True,True,False,False,False,True,40,60,49.35273100029439,2.0,49.284622965248715,49.420839035340066
True,True,True,False,True,False,True,40,60,49.35273100029439,2.0,49.284622965248715,49.420839035340066
False,True,True,False,True,False,True,40,60,49.35273100029439,2.0,49.284622965248715,49.420839035340066
True,True,False,False,False,False,False,40,60,47.52300977381447,7.75,48.60087310950409,46.44514643812485
True,False,False,False,True,False,False,40,60,47.181282495045664,6.75,46.356714925654764,48.00585006443656
True,True,False,False,True,False,False,40,60,45.59938642845105,6.75,46.356714925654764,44.84205793124734
True,False,False,False,False,False,False,40,60,45.440538008227314,9.25,45.54981647395897,45.33125954249566
True,False,True,False,False,False,False,40,60,44.94096140691832,3.0,48.31977006266905,41.56215275116759
True,True,True,False,False,False,False,40,60,44.82965437605283,3.0,48.09715600093807,41.56215275116759
False,False,True,False,False,False,False,40,60,44.21666556479785,4.0,47.576432736176685,40.856898393419016
False,True,True,False,False,False,False,40,60,44.10591637373138,4.0,47.35493435404374,40.856898393419016
False,True,True,False,True,True,True,40,60,43.793931398474854,0.75,44.93370334522471,42.65415945172499
False,True,True,False,False,True,True,40,60,43.793931398474854,0.75,44.93370334522471,42.65415945172499
True,False,True,False,True,True,True,40,60,42.717743922650484,0.5,42.53643114937131,42.89905669592966
True,False,True,False,False,True,True,40,60,42.717743922650484,0.5,42.53643114937131,42.89905669592966
True,True,True,False,True,True,True,40,60,42.59529530054815,0.5,42.53643114937131,42.65415945172499
True,True,True,False,False,True,True,40,60,42.59529530054815,0.5,42.53643114937131,42.65415945172499
False,True,False,False,False,True,True,40,60,41.84775409801422,5.75,41.450591469798304,42.244916726230144
True,False,False,False,False,False,True,40,60,41.693201130815396,6.5,36.81632685080138,46.5700754108294
True,False,False,False,True,False,False,30,70,40.49273068934659,4.0,42.28889264875866,38.69656872993452
True,False,False,False,True,True,True,40,60,39.50447383568429,1.5,49.40161992138745,29.607327749981117
True,False,False,False,False,True,True,40,60,39.50447383568429,1.5,49.40161992138745,29.607327749981117
False,True,False,False,True,True,True,40,60,38.99595223192811,4.75,41.663728074643004,36.32817638921322
True,False,False,False,True,False,True,30,70,37.552894402665714,4.0,43.774160527933994,31.33162827739744
False,True,False,False,True,False,False,20,80,37.251851837268404,8.5,39.20973762223845,35.29396605229835
False,False,True,False,True,False,False,30,70,36.983819068510556,2.0,37.16064000263237,36.80699813438875
True,False,True,False,True,False,False,30,70,36.983819068510556,2.0,37.16064000263237,36.80699813438875
False,False,False,False,True,True,False,30,70,36.48469578535865,4.0,31.648273712693943,41.32111785802337
False,False,True,False,False,False,False,30,70,36.0287322429074,3.0,35.97710963725409,36.08035484856072
True,False,True,False,False,False,False,30,70,36.0287322429074,3.0,35.97710963725409,36.08035484856072
True,True,True,False,False,False,False,30,70,35.9266877997898,3.0,35.77302075101889,36.08035484856072
False,True,True,False,False,False,False,30,70,35.9266877997898,3.0,35.77302075101889,36.08035484856072
True,False,False,False,False,False,False,20,80,34.97736803963903,6.75,37.02269367674975,32.93204240252832
False,True,True,False,False,False,False,20,80,34.71621366610221,2.0,34.67714752814748,34.75527980405695
False,False,True,False,False,False,False,20,80,34.71621366610221,2.0,34.67714752814748,34.75527980405695
True,True,True,False,False,False,False,20,80,34.71621366610221,2.0,34.67714752814748,34.75527980405695
True,False,True,False,False,False,False,20,80,34.71621366610221,2.0,34.67714752814748,34.75527980405695
True,True,False,False,False,False,False,20,80,34.5605212565894,5.75,39.13835459102304,29.98268792215577
True,False,False,False,True,False,True,40,60,34.33578704521568,6.5,28.736405028078703,39.93516906235266
True,False,False,False,True,False,False,20,80,34.27308572558688,3.0,32.72722387854188,35.818947572631885
False,True,False,False,True,False,True,20,80,34.20950483701262,7.5,35.80797303761418,32.61103663641105
True,True,False,False,True,False,False,30,70,34.09460004983801,4.0,35.812955932158076,32.37624416751794
True,True,False,False,True,True,True,40,60,34.0430482070487,1.5,45.306942734231995,22.779153679865406
True,True,False,False,False,True,True,40,60,34.0430482070487,1.5,45.306942734231995,22.779153679865406
True,True,False,False,True,False,False,20,80,33.864436464532524,2.5,32.30667397005178,35.422198959013265
True,False,True,False,False,False,True,30,70,33.67251228520265,2.0,36.243489451414405,31.101535118990896
False,False,True,False,False,False,True,30,70,33.67251228520265,2.0,36.243489451414405,31.101535118990896
True,True,True,False,False,False,True,30,70,33.04132215703922,1.75,36.243489451414405,29.839154862664042
False,True,True,False,False,False,True,30,70,33.04132215703922,1.75,36.243489451414405,29.839154862664042
False,False,False,False,True,False,False,20,80,32.77676550054272,12.5,37.41306177450401,28.140469226581445
True,False,False,False,True,False,True,20,80,32.77492784030095,3.0,32.72722387854188,32.82263180206002
