SMA_200,VWAP,Fib_50,Bullish_Engulfing,Daily_Pivots,MACD,Vol_SMA,Stoch_Buy,Stoch_Sell,Total_Return_%,Trades
False,True,False,False,False,False,True,30,70,128.48041224126382,35.5
False,False,False,False,True,True,False,30,70,93.60560783088951,3.5
True,False,False,False,False,True,False,40,60,92.07343022405435,9.5
True,False,False,False,False,True,False,30,70,91.12512954365393,3.5
True,False,True,False,False,True,False,40,60,82.86763094043943,5.0
True,True,True,False,False,True,False,40,60,81.86252414549497,5.0
True,False,False,False,False,False,True,30,70,81.04638866074264,16.0
False,False,False,False,False,True,True,30,70,80.02603855333126,6.0
True,False,False,False,False,False,True,20,80,79.95677038690299,9.0
True,True,False,False,False,True,False,30,70,79.42693635853377,2.5
True,True,False,False,False,False,True,30,70,79.2125384266094,9.0
False,True,False,False,True,True,False,30,70,76.44944098280423,3.5
True,False,True,True,False,False,False,30,70,72.57197162306248,8.0
False,True,False,False,False,True,True,30,70,70.48414698157298,4.5
False,False,False,True,True,True,False,30,70,70.41783800884389,1.5
True,False,False,True,False,False,True,40,60,69.41577525834906,6.0
False,False,True,True,False,False,False,30,70,68.91142709657407,9.0
True,False,False,False,False,False,True,40,60,66.82787745808724,20.5
False,True,False,True,True,True,False,30,70,66.45467984701683,1.5
True,False,True,True,False,False,True,40,60,66.23564031894715,4.0
True,False,True,True,False,False,False,20,80,65.25234177155485,8.0
False,True,True,False,False,True,True,30,70,61.27006385161733,0.5
False,False,True,True,False,False,True,40,60,57.49291387629232,6.0
False,True,True,True,False,False,False,20,80,57.28410675926896,3.0
False,False,True,True,False,False,False,20,80,54.2313284673879,9.0
True,False,True,False,False,False,False,30,70,50.169041545144125,15.5
False,False,True,False,False,False,False,40,60,48.62560966878284,19.5
True,True,False,False,False,False,True,20,80,48.429008732578694,2.5
False,False,True,False,False,True,True,40,60,47.41158942067916,2.5
True,False,True,False,False,False,True,20,80,47.13653906753572,6.0
True,False,True,False,False,False,False,20,80,46.66318114459227,12.0
False,False,False,False,False,True,True,20,80,46.19841556561817,1.0
False,True,False,False,False,True,True,20,80,46.19841556561817,1.0
True,False,False,False,False,False,False,30,70,46.10982674230046,37.0
False,True,True,False,False,True,False,40,60,46.06165027495561,7.0
False,False,True,False,False,False,False,20,80,46.045382197228044,13.0
False,False,True,False,False,False,False,30,70,45.209527636747836,16.5
True,True,True,False,False,False,False,30,70,44.820881738862674,11.5
True,True,True,False,False,False,True,30,70,43.36536883524869,5.0
False,False,True,False,False,True,False,20,80,41.043550687070706,0.5
False,False,True,False,False,False,True,20,80,41.02473151159967,8.0
False,False,True,True,False,False,False,40,60,39.86278609962235,13.0
True,False,True,True,False,False,False,40,60,38.71505493877516,12.0
True,False,False,False,True,True,False,30,70,38.16960139242662,0.5
True,True,False,False,True,True,False,30,70,38.16960139242662,0.5
False,True,True,False,False,False,True,30,70,38.091324009722484,7.5
True,False,True,False,False,False,False,40,60,37.93066048024378,18.5
True,False,True,False,False,False,True,40,60,37.41617468529097,10.5
True,True,True,False,False,False,False,20,80,37.19075475706855,6.0
False,True,True,False,False,False,False,30,70,35.864340556795746,13.5
True,False,True,False,False,False,True,30,70,33.76470028803462,10.0
False,False,False,True,False,False,True,20,80,33.74919361718924,13.0
True,False,True,False,False,True,False,30,70,33.38687071024273,1.0
True,True,True,False,False,True,False,30,70,33.38687071024273,1.0
False,False,True,False,False,True,False,30,70,32.60101922884966,6.0
False,False,False,False,False,False,True,30,70,31.66484735612036,75.5
True,False,False,False,False,False,False,40,60,31.450398978016693,45.0
False,False,True,False,False,False,True,30,70,30.137693096612004,12.0
True,True,False,False,False,False,False,40,60,29.33993963224639,40.0
True,False,False,True,False,False,True,30,70,27.540910967398347,5.0
False,True,False,False,False,False,True,40,60,27.413185690616437,59.5
False,False,True,False,False,False,True,40,60,26.95707846762998,13.5
False,True,True,False,False,True,False,30,70,26.40726220922449,3.0
False,True,True,False,False,False,False,20,80,26.33979962023667,11.0
True,False,False,True,False,False,False,20,80,25.982981686765672,10.0
True,True,False,True,False,False,False,20,80,24.936026347077387,4.0
False,False,True,False,False,True,True,30,70,23.804702529498933,1.5
True,True,False,False,False,False,False,30,70,23.58135955545395,28.0
True,True,True,False,True,True,True,40,60,22.74708320972949,1.0
True,False,True,False,True,True,True,40,60,22.74708320972949,1.0
True,False,False,False,True,True,True,40,60,22.74708320972949,1.0
True,False,True,False,True,True,False,40,60,22.74708320972949,1.0
False,True,True,False,True,True,True,40,60,22.74708320972949,1.0
True,True,False,False,True,True,True,40,60,22.74708320972949,1.0
True,True,True,False,True,True,False,40,60,22.74708320972949,1.0
False,False,True,False,True,True,True,40,60,22.74708320972949,1.0
True,False,False,False,True,False,False,40,60,21.809423834132513,32.0
True,False,False,False,False,False,False,20,80,21.47458975193153,26.5
True,True,True,False,False,False,True,40,60,20.863118880641363,9.5
True,True,True,True,False,False,False,30,70,20.27866120041082,4.0
False,False,True,True,False,False,True,30,70,18.38849757092733,6.0
False,True,True,True,False,False,False,30,70,17.684472262817373,6.0
False,False,True,False,False,True,False,40,60,16.913600996788713,11.0
True,True,True,False,False,False,False,40,60,16.86378741814636,16.5
True,True,False,False,False,False,True,40,60,16.72843579734977,18.5
False,False,False,True,False,False,False,30,70,16.665764572718732,54.5
True,True,True,True,False,False,False,20,80,16.396697126786886,3.0
False,False,True,False,True,False,False,20,80,16.141911242040962,3.0
True,False,True,True,False,False,True,30,70,16.060677574171866,4.0
False,False,False,False,False,False,True,20,80,14.916811587711765,52.5
True,True,False,False,False,True,False,40,60,14.739815126717936,7.5
False,False,False,False,False,False,True,40,60,14.562496985851524,104.5
True,True,True,True,False,False,False,40,60,13.7651086732008,5.0
True,True,False,False,True,True,False,40,60,12.49946592236373,2.0
True,False,False,False,True,True,False,40,60,12.49946592236373,2.0
False,True,True,False,False,False,False,40,60,12.243870955184866,17.5
False,False,False,True,False,False,True,30,70,11.820733098044457,17.5
True,False,False,True,False,False,False,30,70,11.364979374299944,14.0
False,False,False,True,False,True,True,30,70,10.99034711372202,3.0
False,True,True,True,False,False,False,40,60,10.813150829948315,7.0
False,False,False,True,False,False,False,40,60,10.784156560405078,67.5
False,True,True,False,False,False,True,40,60,10.439773472826165,11.5
False,True,False,False,True,True,False,40,60,8.247914708440153,11.0
False,True,False,False,True,True,True,30,70,8.026753918071838,0.5
False,False,False,False,True,True,True,30,70,8.026753918071838,0.5
False,False,False,True,True,False,False,40,60,7.317514485212517,16.0
True,False,False,True,False,False,True,20,80,6.942569021640099,3.0
False,True,True,False,False,True,True,40,60,6.568583989866683,2.5
False,True,False,True,True,False,False,30,70,6.409010708148544,5.0
True,True,False,False,False,False,False,20,80,5.837290247616123,14.0
False,False,False,False,True,True,False,40,60,5.5738883749823165,11.0
False,True,False,True,False,False,False,30,70,5.237827483995683,23.5
False,True,False,True,True,True,False,40,60,5.176760578611561,5.0
False,True,False,True,False,False,False,40,60,4.594477237378558,31.5
False,True,False,True,False,True,True,30,70,4.210866795555579,2.0
True,False,True,True,False,False,True,20,80,4.071288034131593,2.0
False,True,False,False,True,True,True,40,60,3.949416823894336,5.0
False,False,False,False,True,True,True,40,60,3.949416823894336,5.0
True,False,True,False,True,False,False,20,80,3.292351502911428,3.0
False,False,False,True,True,True,False,40,60,2.578600344184956,5.0
True,False,False,False,True,False,True,40,60,2.1278021546716763,8.5
False,True,False,True,False,True,False,30,70,1.783433705169224,5.0
False,True,True,True,True,True,False,40,60,1.525973076802356,0.5
False,True,True,True,False,True,False,40,60,1.525973076802356,1.0
False,False,True,True,True,True,False,40,60,1.525973076802356,0.5
False,False,True,True,False,True,False,40,60,0.7263131257603694,2.0
False,False,False,False,True,True,False,20,80,0.0,0.0
True,True,True,False,True,False,True,20,80,0.0,0.0
False,False,False,False,True,True,True,20,80,0.0,0.0
True,True,True,False,True,True,False,20,80,0.0,0.0
True,True,True,False,True,True,True,30,70,0.0,0.0
True,True,True,True,False,True,False,20,80,0.0,0.0
True,True,True,False,True,True,False,30,70,0.0,0.0
True,True,True,True,False,True,True,40,60,0.0,0.0
True,True,True,True,False,True,True,30,70,0.0,0.0
True,True,True,True,True,False,True,40,60,0.0,0.0
True,True,True,True,False,True,True,20,80,0.0,0.0
True,True,True,True,True,False,True,20,80,0.0,0.0
True,True,True,True,True,True,False,40,60,0.0,0.0
True,False,True,True,False,True,False,40,60,0.0,0.0
True,True,True,True,True,False,True,30,70,0.0,0.0
True,False,True,True,False,True,False,30,70,0.0,0.0
True,False,True,False,False,True,True,30,70,0.0,0.0
False,False,True,False,True,True,False,20,80,0.0,0.0
True,False,True,False,False,True,True,20,80,0.0,0.0
False,False,True,False,True,True,True,30,70,0.0,0.0
False,False,True,False,True,True,True,20,80,0.0,0.0
True,False,False,True,False,True,False,20,80,0.0,0.0
True,False,False,True,False,True,True,40,60,0.0,0.0
True,False,False,True,False,True,True,30,70,0.0,0.0
True,False,False,True,False,True,True,20,80,0.0,0.0
True,False,False,True,True,False,True,40,60,0.0,0.0
True,False,False,True,True,False,True,30,70,0.0,0.0
True,False,True,True,True,True,False,40,60,0.0,0.0
True,False,True,True,True,True,False,30,70,0.0,0.0
True,False,True,True,True,True,False,20,80,0.0,0.0
True,False,True,True,True,True,True,40,60,0.0,0.0
True,False,True,True,True,True,True,30,70,0.0,0.0
True,False,True,True,True,True,True,20,80,0.0,0.0
True,False,True,False,True,False,True,20,80,0.0,0.0
True,False,True,False,True,True,False,30,70,0.0,0.0
True,False,True,False,True,True,False,20,80,0.0,0.0
True,False,True,False,True,True,True,30,70,0.0,0.0
True,False,True,False,True,True,True,20,80,0.0,0.0
True,False,False,True,True,False,True,20,80,0.0,0.0
True,False,False,True,True,True,False,40,60,0.0,0.0
True,False,False,True,True,True,False,30,70,0.0,0.0
True,False,False,True,True,True,False,20,80,0.0,0.0
True,False,False,True,True,True,True,40,60,0.0,0.0
True,False,False,True,True,True,True,30,70,0.0,0.0
True,False,False,True,True,True,True,20,80,0.0,0.0
True,False,False,False,True,False,True,20,80,0.0,0.0
True,False,False,False,True,True,False,20,80,0.0,0.0
True,False,False,False,True,True,True,30,70,0.0,0.0
True,False,False,False,True,True,True,20,80,0.0,0.0
False,False,True,False,False,True,True,20,80,0.0,0.0
True,False,True,True,False,True,False,20,80,0.0,0.0
True,False,True,True,False,True,True,40,60,0.0,0.0
True,False,True,True,False,True,True,30,70,0.0,0.0
True,False,True,True,False,True,True,20,80,0.0,0.0
True,False,True,True,True,False,True,40,60,0.0,0.0
True,False,True,True,True,False,True,30,70,0.0,0.0
True,False,True,True,True,False,True,20,80,0.0,0.0
True,True,False,True,False,True,False,40,60,0.0,0.0
True,True,False,True,False,True,False,30,70,0.0,0.0
True,True,False,False,False,True,True,30,70,0.0,0.0
