SMA_200,VWAP,Fib_50,Bullish_Engulfing,Daily_Pivots,MACD,Vol_SMA,Stoch_Buy,Stoch_Sell,Total_Return_%,Trades
False,True,False,False,False,False,True,30,70,129.02662976563758,35.5
False,False,False,False,True,True,False,30,70,93.60560783088951,3.5
True,False,False,False,False,True,False,40,60,92.53261126511521,9.5
True,False,False,False,False,True,False,30,70,91.58204352626139,3.5
True,False,True,False,False,True,False,40,60,82.86763094043943,5.0
True,True,True,False,False,True,False,40,60,81.86252414549497,5.0
True,False,False,False,False,False,True,30,70,81.04638866074264,16.0
False,False,False,False,False,True,True,30,70,80.02603855333126,6.0
True,False,False,False,False,False,True,20,80,79.95677038690299,9.0
True,True,False,False,False,True,False,30,70,79.85588401326855,2.5
True,True,False,False,False,False,True,30,70,79.2125384266094,9.0
False,True,False,False,True,True,False,30,70,76.44944098280423,3.5
True,False,True,True,False,False,False,30,70,72.13714998517877,8.0
False,True,False,False,False,True,True,30,70,70.48414698157298,4.5
False,False,False,True,True,True,False,30,70,70.41783800884389,1.5
True,False,False,True,False,False,True,40,60,69.41577525834906,6.0
False,False,True,True,False,False,False,30,70,69.17903204184756,9.0
True,False,False,False,False,False,True,40,60,67.22670512706685,20.5
False,False,True,True,False,False,False,20,80,66.90200299330226,9.0
False,True,False,True,True,True,False,30,70,66.45467984701683,1.5
True,False,True,True,False,False,True,40,60,66.23564031894715,4.0
True,False,True,True,False,False,False,20,80,64.05768534628875,8.0
False,True,True,False,False,True,True,30,70,61.27006385161733,0.5
False,False,True,False,False,False,False,20,80,60.663741060537355,13.0
False,False,True,True,False,False,True,40,60,57.49291387629232,6.0
True,False,True,False,False,False,False,20,80,53.86219737994444,13.0
False,True,True,False,False,False,True,30,70,51.060443586029706,8.0
True,False,True,False,False,False,True,40,60,50.68125384006707,10.5
False,False,True,False,False,False,True,30,70,49.735477124640724,12.0
True,True,True,False,False,False,False,30,70,49.28586703782265,11.5
True,True,False,False,False,False,True,20,80,48.429008732578694,2.5
False,False,True,False,False,True,True,40,60,47.41158942067916,2.5
False,True,False,False,False,True,True,20,80,46.54792533686847,1.0
False,False,False,False,False,True,True,20,80,46.54792533686847,1.0
